Date/Time,Word Count,en,ru-RU
2022.06.30-11.22.07,54,54,0
2022.06.30-23.08.52,47,47,0
2022.06.30-23.17.10,47,47,14
2022.07.01-17.25.39,48,48,14
2022.07.02-12.54.49,49,49,15
2022.07.02-13.00.35,49,49,33
